,ABC,ABEV,ACI,ADM,BG,BTI,BYND,CAG,CASY,CCEP,CHD,CL,CLX,CPB,CTVA,CVS,DAR,DEO,EL,FLO,FMX,FRPT,GIS,GO,HAIN,HLF,HRL,HSY,IFF,INGR,K,KDP,KHC,KMB,KO,KR,LW,MCK,MDLZ,MKC,MNST,MO,OLPX,PEP,PG,PM,POST,PPC,REYN,SAM,SEB,SJM,SPB,STZ,SYY,TAP,TSN,UL,USFD,WBA
,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-29 00:00:00-05:00,133.36,2.71,30.06,67.01,92.19,37.3,63.26,33.885,198.95,56.17,100.97,84.92,171.38,43.21,47.36,103.73,67.84,221.88,370.09,27.43,77.44,93.35,67.03,28.35,42.18,40.82,48.53,191.83,148.98,97.05,63.89,36.59,35.81,141.08,58.94,44.71,62.67,248.43,66.37,95.6,95.82,47.4,26.955,172.93,164.19,94.31,112.29,28.18,30.77,502.0,3928.02,135.11,100.8,249.77,77.93,45.94,86.45,53.615,34.77,52.26
2021-12-30 00:00:00-05:00,133.79,2.76,30.17,66.9,92.06,37.24,67.39,33.88,195.82,55.51,101.43,84.59,172.37,43.15,47.13,103.68,67.87,219.37,367.39,27.42,77.34,95.94,67.05,28.25,42.37,41.27,48.57,191.31,148.54,96.51,63.94,36.68,35.66,141.49,58.78,45.15,63.03,248.9,65.76,95.585,95.39,47.26,28.62,172.67,162.78,94.27,111.65,27.88,31.19,513.96,3931.0,135.34,100.08,249.39,78.01,45.91,86.35,53.58,34.74,51.99
2021-12-31 00:00:00-05:00,132.94,2.795,30.2,67.6,93.37,37.42,65.13,34.15,197.36,55.93,102.52,85.34,174.3804,43.46,47.29,103.16,69.29,220.1,370.3,27.46,77.74,95.23,67.38,28.27,42.61,40.92,48.81,193.52,150.66,96.64,64.43,36.86,35.915,142.93,59.22,45.25,63.38,248.69,66.31,96.61,96.0,47.4,29.1,173.73,163.57,95.01,112.74,28.2,31.4,505.07,3945.0,135.82,101.67,250.98,78.56,46.36,87.16,53.785,34.81,52.16
2022-01-03 00:00:00-05:00,132.65,2.72,29.39,67.92,93.72,37.97,64.86,34.06,197.31,56.33,101.71,84.59,174.93,43.74,46.9,104.15,69.86,220.99,370.29,27.48,77.44,94.91,67.26,28.53,42.65,41.98,49.15,193.26,149.1,97.12,64.7,36.71,36.14,142.45,59.3,45.18,63.9,248.1,65.96,95.8,96.54,47.96,29.42,172.97,162.92,95.76,112.85,28.1,31.43,520.2,3898.04,136.84,101.91,252.76,78.95,47.36,87.81,54.06,35.61,53.06
2022-01-04 00:00:00-05:00,131.4,2.71,29.65,69.14,94.51,38.07,61.64,34.2,194.85,56.31,101.82,84.87,175.61,44.11,47.78,104.29,71.03,222.11,371.8,27.58,78.71,93.61,67.88,27.85,43.03,41.86,49.0,194.87,149.61,97.77,65.32,37.26,36.9,143.19,60.28,46.16,63.31,248.11,66.45,96.5,97.78,49.03,27.73,173.22,163.47,96.33,113.64,27.98,31.58,508.17,3867.0,138.57,103.44,254.63,80.88,48.9,89.55,53.78,35.96,53.47
2022-01-05 00:00:00-05:00,132.5,2.63,29.95,68.62,93.98,38.38,58.5,34.15,193.53,57.445,102.59,85.22,177.43,44.28,47.25,105.82,67.64,219.4,356.11,27.88,78.7,89.5,68.82,27.27,42.6,42.06,49.65,197.09,144.98,98.59,65.67,37.02,36.76,144.07,60.81,46.84,63.11,247.29,67.4,96.91,96.0,48.66,25.02,173.82,164.21,95.97,114.52,27.73,31.57,501.48,3857.21,141.01,101.04,253.38,80.25,49.415,89.72,53.7,35.5,54.061
2022-01-06 00:00:00-05:00,130.45,2.595,31.22,69.23,96.11,38.65,67.06,33.53,196.92,57.82,102.72,84.69,178.58,45.04,47.9,102.6,65.14,215.05,355.29,27.93,78.78,88.52,68.48,26.81,42.5,43.62,49.34,196.55,143.82,98.77,65.96,37.435,36.83,143.13,60.47,47.12,67.73,244.65,67.42,96.485,95.54,49.22,25.1,173.88,162.85,97.4,114.21,28.39,31.64,499.34,3868.53,141.35,102.21,244.58,79.66,49.77,90.83,53.17,35.4,52.45
2022-01-07 00:00:00-05:00,133.12,2.59,31.21,69.8,96.96,38.98,68.55,34.75,196.515,57.82,103.61,84.44,179.96,45.85,48.42,104.19,65.51,211.45,354.96,28.03,79.6,88.94,68.56,27.91,42.49,43.29,49.84,195.89,141.98,99.49,66.61,37.31,37.36,143.75,60.33,48.12,70.26,249.93,67.5414,96.04,94.06,49.79,24.51,174.09,162.73,99.13,115.53,28.47,32.07,517.96,3948.1,143.33,101.08,246.19,80.45,50.64,91.01,53.79,35.92,53.82
2022-01-10 00:00:00-05:00,134.65,2.6,31.94,69.94,96.13,39.69,66.7,34.17,196.77,57.83,102.8,83.71,179.7,45.84,47.39,105.06,65.99,211.32,336.06,28.21,80.17,88.59,68.78,27.91,41.13,43.35,49.86,194.63,140.59,99.71,66.98,37.31,37.37,144.58,60.42,49.11,68.57,250.84,67.03,94.62,92.7,50.54,24.27,174.17,160.52,100.27,115.01,28.5,31.51,510.78,3955.0,143.25,100.29,247.17,79.32,49.28,90.77,54.24,35.49,53.71
2022-01-11 00:00:00-05:00,136.46,2.66,28.785,70.49,97.74,40.42,69.36,33.98,196.48,58.53,101.82,83.18,179.58,45.08,48.41,106.05,67.08,209.89,340.76,27.82,80.96,98.25,68.55,27.27,41.17,44.12,49.7,194.0,146.16,100.23,66.59,37.84,37.59,143.15,60.48,47.71,69.34,254.92,67.25,95.21,94.59,49.49,25.05,174.12,158.67,101.0,114.81,28.6,31.55,504.58,3994.98,142.11,101.56,252.71,78.43,49.23,90.99,53.96,36.09,54.33
2022-01-12 00:00:00-05:00,135.72,2.68,29.63,70.43,98.57,40.66,67.6,33.55,195.04,58.59,102.61,82.87,182.09,45.22,48.87,105.79,67.03,209.4,345.61,27.899,81.98,96.5,68.34,27.12,40.5,44.11,49.05,195.85,146.14,100.1,66.39,38.01,37.31,143.09,60.55,47.13,68.84,254.59,67.37,95.37,94.01,49.48,23.89,173.94,159.0,101.45,114.81,28.22,31.83,485.0,3985.0,140.83,102.42,248.12,78.2,48.58,90.73,53.6,35.91,53.92
2022-01-13 00:00:00-05:00,134.86,2.72,31.0,70.94,98.75,41.69,70.87,34.37,196.0,59.64,103.28,82.55,183.02,45.89,48.91,105.35,66.42,207.64,334.33,28.27,82.275,96.15,68.91,27.45,40.32,44.67,49.51,196.74,145.87,100.64,66.84,38.48,37.65,142.89,60.93,49.5,69.05,254.78,67.64,95.52,94.4,50.33,22.86,174.19,158.34,102.12,116.77,27.98,31.89,489.0,4020.0,142.98,100.86,247.13,80.43,50.28,93.24,53.68,37.14,54.19
2022-01-14 00:00:00-05:00,136.2,2.75,30.92,71.54,98.7,42.45,66.58,35.1,190.91,59.66,104.23,83.45,186.61,46.38,48.6,106.22,65.67,206.16,322.16,29.07,82.87,91.22,69.9,26.425,40.4,45.12,49.08,199.53,145.81,100.96,67.52,39.28,38.02,143.15,61.37,49.12,68.93,256.52,68.1,96.41,89.94,50.82,22.86,175.65,159.8,103.37,117.75,28.11,32.06,450.2907,3926.01,145.15,99.94,248.62,79.8,51.68,93.74,54.3,36.94,54.29
2022-01-18 00:00:00-05:00,133.8,2.61,30.48,71.3,98.13,43.26,63.87,35.3,188.9675,58.45,103.22,83.16,181.01,46.29,48.145,104.51,67.17,203.05,310.96,28.99,83.1,88.63,69.26,25.44,36.76,45.2,49.24,198.39,141.22,100.5,67.0,38.15,37.43,140.88,60.9,48.59,67.7,252.54,67.37,97.5,86.7,50.48,20.84,173.97,156.77,101.78,116.02,27.95,31.39,444.7101,3889.99,145.39,97.2,243.42,78.93,51.68,93.73,46.458,36.14,53.52
2022-01-19 00:00:00-05:00,132.39,2.65,29.37,71.01,96.72,42.87,63.13,35.56,188.75,58.26,102.92,84.06,181.11,46.04,47.23,103.49,66.74,204.66,309.62,28.92,81.18,89.385,69.15,24.99,37.255,45.39,49.16,199.64,139.38,100.7,66.594,38.375,37.21,142.68,61.0,48.59,67.02,251.14,67.6,96.05,86.79,50.1,20.53,175.24,162.0,101.49,115.68,27.86,31.195,456.16,3887.02,143.39,93.19,242.81,77.71,50.23,92.71,50.045,35.87,53.53
2022-01-20 00:00:00-05:00,132.88,2.65,28.2,68.87,94.8,42.54,61.44,35.45,184.73,58.17,101.96,83.28,175.95,44.81,46.53,102.37,64.65,204.52,301.13,28.34,81.54,88.58,68.48,25.0,36.12,45.28,48.92,199.19,141.0,99.67,66.12,38.11,37.07,141.5,60.75,47.27,65.32,251.8,67.75,95.34,86.41,50.33,20.28,173.9,161.93,101.995,114.12,27.55,31.105,452.79,3786.96,141.13,92.02,243.53,78.01,49.34,90.46,49.39,35.44,53.18
2022-01-21 00:00:00-05:00,131.42,2.68,28.26,68.96,94.33,42.545,61.6,35.24,180.94,56.7,103.37,83.65,178.56,45.29,45.43,101.61,62.76,203.29,296.9,28.74,82.13,86.8,69.02,25.14,36.17,44.35,49.13,200.26,139.18,97.67,66.6,37.84,37.0,143.34,60.41,46.92,64.8,246.5,68.36,95.7,85.59,50.32,19.09,174.16,162.6,102.9,112.78,27.325,30.97,443.47,3732.5,143.18,89.3,241.0,77.4,48.61,89.91,49.25,34.42,52.46
2022-01-24 00:00:00-05:00,131.53,2.68,28.49,68.59,93.59,43.58,62.6,35.32,189.4,56.86,102.43,83.68,176.95,45.33,46.07,103.53,63.32,202.96,301.8,28.59,80.59,88.4,68.55,25.36,37.25,43.5,49.02,199.93,136.61,96.5,66.22,38.181,36.39,141.81,59.97,47.72,64.89,248.41,67.61,94.17,88.14,49.97,20.74,173.3,161.3,100.61,112.73,27.54,30.91,450.68,3641.0,142.03,88.93,240.16,77.18,49.88,90.64,53.54,35.34,52.36
2022-01-25 00:00:00-05:00,131.02,2.79,27.09,68.37,94.64,43.11,61.24,35.05,185.23,56.35,101.63,81.75,174.55,44.39,46.06,103.1,61.95,200.96,294.48,28.12,80.03,83.86,68.34,24.89,36.18,43.66,48.22,194.77,134.09,94.56,66.2,38.07,36.22,139.58,59.83,45.08,64.01,245.8,66.98,93.02,86.35,50.04,21.34,171.42,159.56,102.14,107.42,27.38,30.67,435.76,3653.0,139.4,86.49,236.38,77.07,50.22,90.29,52.72,35.31,50.98
2022-01-26 00:00:00-05:00,130.53,2.75,26.84,72.26,96.18,42.57,60.23,34.83,183.42,56.98,98.93,81.38,164.65,43.52,46.01,104.86,61.67,198.13,292.4,27.965,79.49,84.73,67.76,25.11,35.67,43.37,46.55,194.13,133.23,94.28,64.77,37.4,36.04,134.7,59.65,44.36,63.68,247.03,66.64,91.92,84.64,49.45,20.53,169.57,158.11,101.37,105.9,27.29,30.02,421.26,3630.17,137.38,87.22,234.33,77.05,48.37,90.585,51.3,34.94,49.76
2022-01-27 00:00:00-05:00,134.57,2.835,27.46,74.21,96.53,42.71,56.53,35.36,185.6,55.71,98.62,82.68,165.45,44.21,46.84,106.8,60.59,200.8,298.02,28.1,77.27,83.3,68.34,24.55,35.55,43.61,46.75,194.37,131.96,94.54,65.16,37.595,36.09,137.48,59.65,45.39,63.58,255.13,67.48,98.2,83.16,50.35,19.7,169.37,159.13,102.22,104.74,27.07,30.0901,415.34,3650.0,138.99,87.94,234.85,76.66,48.17,90.03,51.2,34.13,49.99
