,AAPL,ACN,ADBE,ADI,ADP,ADSK,AMAT,AMD,AMZN,APH,ATVI,AVGO,CDNS,CRM,CRWD,CSCO,CTSH,DDOG,EA,EBAY,FB,FIS,FISV,FTNT,GOOGL,GPN,HPQ,IBM,INTC,INTU,KEYS,KLAC,LRCX,MA,MCHP,MRVL,MSFT,MSI,MU,NFLX,NOW,NVDA,NXPI,ORCL,PANW,PAYX,PYPL,QCOM,SHOP,SNAP,SNOW,SNPS,SQ,TEL,TWLO,TXN,V,WDAY,XLNX,ZM
,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12 00:00:00-05:00,121.05,265.04,444.3,149.54,182.82,268.33,114.3,81.05,3091.23,64.12,93.04,451.18,125.74,212.1,199.06,48.82,77.79,82.97,130.5,55.8,268.44,146.31,124.15,188.4,2049.97,215.06,30.28,127.61,62.89,395.95,135.99,294.34,524.82,382.91,147.46,47.16,235.8,179.11,87.77,518.27,489.42,514.24,183.39,67.18,342.61,95.25,250.35,129.97,1140.86,62.62,230.0,229.31,242.1,131.27,369.41,173.57,224.35,252.74,125.46,346.24
2021-03-15 00:00:00-04:00,124.0,265.97,447.59,151.02,189.07,273.16,114.88,82.51,3081.42,65.85,92.58,470.67,129.43,212.8,200.73,49.41,79.28,87.66,130.89,57.7,273.75,145.7,124.0,191.84,2054.72,215.41,30.78,128.58,63.8,396.84,136.9,299.27,536.59,381.76,149.73,48.37,234.81,181.85,88.855,520.44,496.35,528.12,199.68,67.72,344.29,97.77,250.06,131.64,1157.77,63.81,238.68,234.87,251.17,134.3,369.17,174.91,223.26,254.88,128.66,349.91
2021-03-16 00:00:00-04:00,125.57,263.42,450.46,153.2,188.25,275.06,118.52,82.78,3092.42,65.32,93.27,478.48,129.39,214.48,196.4389,49.67,78.05,86.37,131.8,57.42,279.13,145.83,124.1,189.72,2083.9,215.43,30.42,128.27,64.79,395.42,137.43,301.9,547.19,382.37,149.88,47.96,237.69,182.54,91.42,523.98,498.87,531.38,202.79,66.84,340.0,98.03,249.41,133.68,1143.43,62.18,232.39,234.05,243.36,134.06,373.54,177.16,224.65,257.04,129.17,334.99
2021-03-17 00:00:00-04:00,124.8,264.27,451.11,154.26,187.88,272.84,119.94,82.64,3135.2,65.28,92.44,483.9,128.48,213.17,208.04,49.45,78.03,86.54,130.6,59.01,284.02,144.98,123.54,182.61,2082.97,212.44,30.74,129.03,65.78,391.69,137.34,305.71,553.1,378.68,153.91,48.14,237.19,181.33,94.81,524.74,485.0,533.98,208.44,66.21,336.76,98.02,251.595,133.935,1169.84,63.83,230.3,235.58,246.41,133.84,386.85,179.42,223.0,260.85,129.41,337.0
2021-03-18 00:00:00-04:00,120.55,266.69,439.18,149.42,186.06,263.49,114.23,78.13,3027.99,65.0,89.58,463.95,124.02,209.53,190.25,48.81,76.4,81.91,128.02,58.9,278.55,143.42,122.39,173.06,2021.24,206.13,30.3,130.07,63.72,373.89,136.05,288.74,538.81,367.19,145.46,45.55,230.72,181.41,89.82,504.66,466.19,508.79,198.59,66.74,317.55,97.3,238.35,129.74,1117.08,58.6,216.71,227.38,224.27,131.94,352.01,174.29,220.66,249.07,122.25,316.13
2021-03-19 00:00:00-04:00,119.87,263.65,441.5,151.91,183.93,261.31,114.75,79.07,3072.99,64.3,90.48,474.23,125.48,212.16,194.9,48.96,76.5,84.03,128.4,59.73,290.06,141.66,121.86,174.41,2024.94,205.47,30.075,128.9,63.73,380.94,134.72,293.01,542.24,355.3,150.07,47.005,229.91,183.31,90.41,512.46,470.75,513.83,202.25,66.28,316.94,95.76,241.09,131.11,1119.52,58.35,221.04,227.76,224.84,129.11,355.42,175.98,206.88,251.22,122.79,326.51
2021-03-22 00:00:00-04:00,123.37,265.2,452.42,154.65,184.39,265.8,119.41,80.29,3111.37,64.7,91.91,475.37,127.96,215.17,195.64,50.32,76.77,85.17,131.41,60.29,293.54,141.17,121.71,179.13,2030.84,203.87,30.47,130.55,65.66,383.02,137.44,305.38,560.38,358.41,154.9,47.69,236.04,185.7,91.27,522.88,476.28,527.45,200.55,66.32,323.43,96.65,244.41,134.08,1160.0,58.14,220.58,234.52,226.12,128.51,360.0,180.13,207.99,257.51,125.36,328.43
2021-03-23 00:00:00-04:00,122.54,266.03,460.5,150.57,184.01,269.0,116.43,78.38,3137.5,62.93,91.38,464.06,128.25,214.97,190.72,50.01,76.23,85.16,133.1,60.31,290.59,142.03,121.29,176.01,2041.31,200.78,29.58,130.48,63.48,383.13,135.1,297.05,544.41,355.33,150.0,46.18,237.5,183.89,85.37,535.09,477.83,522.75,191.62,67.27,323.6,96.12,243.77,132.45,1162.0,55.25,219.96,235.05,223.08,123.73,355.08,178.78,208.29,257.16,122.1,339.53
2021-03-24 00:00:00-04:00,120.07,267.46,451.62,150.44,185.27,263.17,121.01,76.45,3087.17,63.66,90.53,457.04,126.905,209.53,181.73,49.65,76.94,81.2,129.8,57.64,282.14,143.41,123.25,171.31,2033.23,201.72,29.37,130.62,62.01,377.42,135.18,297.75,551.9,359.67,146.72,45.2,235.46,180.94,82.99,520.73,472.55,505.72,187.38,66.83,321.05,96.96,234.23,127.16,1106.63,50.51,208.7,233.09,213.53,124.9,326.51,178.8,208.024,245.98,119.95,315.01
2021-03-25 00:00:00-04:00,120.6,268.51,451.23,149.78,187.0,262.04,119.73,76.23,3045.73,64.46,90.85,461.7,125.7,205.4,179.23,50.52,77.09,78.2,129.94,58.085,278.75,142.89,123.0,171.07,2031.79,205.035,29.9,133.07,62.01,372.22,136.24,299.56,547.55,358.43,147.08,44.75,232.33,184.05,84.1,502.85,471.86,501.19,191.35,68.63,323.32,98.3,234.31,127.31,1060.85,51.41,217.11,231.79,208.47,125.9,327.61,178.47,208.04,246.0,120.04,314.87
2021-03-26 00:00:00-04:00,121.21,281.03,469.09,157.11,192.76,269.2,128.72,77.41,3053.14,66.48,92.39,482.54,132.62,209.09,177.74,52.58,79.27,80.28,132.92,60.83,283.0,146.42,123.61,182.88,2025.48,209.16,31.66,136.32,64.88,376.95,142.18,320.21,584.62,366.08,155.6,47.04,236.49,189.52,87.99,508.35,495.09,513.83,199.21,70.24,319.81,100.87,241.19,133.05,1065.0,51.6,234.51,242.86,213.61,128.75,320.45,188.36,213.4,249.64,123.15,319.95
2021-03-29 00:00:00-04:00,121.38,279.43,469.16,153.85,192.62,270.9,125.82,77.14,3076.76,66.18,94.06,472.86,132.8,210.81,174.04,52.55,78.06,77.02,134.97,59.85,290.9,143.955,121.47,183.42,2046.93,205.43,31.06,135.78,64.51,374.43,141.34,314.51,569.73,362.4,150.85,46.51,235.28,188.78,86.59,514.33,484.72,518.07,194.16,71.06,320.23,100.29,235.82,131.27,1038.53,49.61,223.66,240.45,207.1,127.56,315.24,186.03,214.385,243.247,122.3,308.71
2021-03-30 00:00:00-04:00,119.98,278.67,465.46,152.6,187.9,268.68,126.76,76.01,3055.85,65.58,92.75,456.77,130.88,210.0,175.24,51.805,78.63,77.41,134.51,60.32,288.0,142.61,120.76,181.51,2047.14,204.2,31.57,134.76,63.79,373.66,141.52,317.5,573.53,358.32,150.12,47.39,232.26,186.67,86.685,513.69,488.13,514.87,197.77,70.56,318.15,99.28,236.62,130.1,1050.0,49.62,222.08,239.89,212.79,127.57,321.04,185.94,212.04,243.25,120.3,313.54
2021-03-31 00:00:00-04:00,122.0928,276.25,475.79,155.14,188.54,277.33,133.74,78.49,3095.2,66.04,93.04,463.89,137.02,212.03,182.63,51.675,78.08,83.44,135.39,61.2,294.47,140.61,119.03,184.44,2065.58,201.6,31.76,133.28,64.05,383.19,143.43,330.63,595.71,356.41,155.27,48.96,236.01,188.18,88.281,522.16,500.34,534.12,201.56,70.17,322.06,98.01,242.9,132.63,1106.48,52.28,229.38,247.79,226.935,129.12,341.0,189.12,212.25,248.51,123.99,321.29
2021-04-01 00:00:00-04:00,123.0,278.36,483.54,160.3,189.53,283.91,141.6,81.0939,3161.55,67.05,95.54,475.96,141.47,218.74,186.86,51.98,78.91,87.2,138.0,63.11,298.68,144.07,122.18,186.36,2129.97,208.07,32.06,133.24,64.56,395.23,143.78,347.54,639.3,363.37,160.17,49.66,242.39,188.38,92.42,539.41,506.79,552.73,208.26,71.8,328.27,98.8,247.55,137.82,1155.26,54.49,236.59,254.2,229.51,130.72,352.2,192.18,216.89,254.98,129.96,326.195
2021-04-05 00:00:00-04:00,125.9001,281.1,491.83,163.57,193.09,288.3,143.11,81.43,3225.26,68.82,97.9,488.61,145.92,220.2,186.59,52.41,80.35,83.36,141.55,63.69,308.91,146.05,122.87,191.12,2219.06,209.86,32.45,135.92,66.53,402.15,147.38,355.33,661.42,368.28,163.82,51.07,249.07,191.35,93.78,540.64,513.93,559.4,214.92,74.16,331.02,100.45,251.02,140.37,1145.33,54.11,232.51,259.98,229.8601,132.77,349.02,196.96,219.11,254.88,130.69,323.96
2021-04-06 00:00:00-04:00,126.23,281.64,491.34,161.78,189.49,285.59,139.58,81.44,3223.99,68.32,97.31,484.03,143.45,221.06,194.5,52.02,79.65,88.85,141.33,62.52,306.27,145.49,123.67,194.7,2210.16,208.27,32.29,134.24,65.57,401.42,145.95,346.92,652.43,369.57,160.74,50.85,247.87,188.66,93.49,544.425,509.29,554.34,212.88,74.28,337.37,95.44,253.16,138.05,1156.7789,56.91,236.01,257.49,236.58,132.1,357.37,194.59,218.695,254.89,130.47,329.8
2021-04-07 00:00:00-04:00,127.91,282.61,493.4,159.42,185.76,286.03,139.11,82.19,3279.39,67.29,96.82,482.44,142.56,220.79,193.89,51.76,79.21,86.61,142.01,61.77,313.15,146.88,123.1,192.83,2238.74,209.67,32.275,134.93,66.24,400.93,143.94,347.86,658.64,371.12,159.64,50.36,249.89,189.9,93.97,547.03,510.74,565.74,212.13,74.07,338.59,94.76,255.6,139.44,1159.7,60.3099,233.98,257.0,245.0,129.44,352.62,193.09,219.27,251.93,131.6,322.65
2021-04-08 00:00:00-04:00,130.37,284.6,499.86,162.1617,188.23,293.53,139.35,83.4001,3299.99,68.07,96.47,485.48,145.44,224.45,203.36,51.91,80.07,88.33,141.54,62.19,313.02,148.87,124.11,196.61,2250.62,212.86,32.38,135.16,67.05,411.46,144.63,354.14,668.72,377.88,161.87,50.39,253.26,190.33,95.3,554.755,524.31,572.91,209.31,75.28,343.61,96.05,264.65,140.35,1223.3,63.21,233.79,261.14,258.32,130.96,366.86,195.23,220.79,257.05,132.82,331.28
2021-04-09 00:00:00-04:00,133.0,287.82,504.15,161.25,189.34,297.52,138.92,82.7501,3372.09,68.49,95.78,485.15,145.36,231.29,202.53,52.1,80.55,88.835,140.45,62.47,312.47,149.87,124.29,197.6,2270.67,213.41,32.98,135.725,68.26,417.31,146.16,352.86,661.99,379.93,161.73,49.58,255.83,191.06,95.31,555.28,530.23,576.0,209.2,75.58,349.51,96.34,266.78,140.6,1227.81,63.28,226.89,261.94,261.65,131.51,368.26,195.43,222.53,257.61,129.81,322.66
2021-04-12 00:00:00-04:00,131.27,287.64,506.05,159.81,189.76,294.42,134.98,78.6174,3379.39,67.7,96.15,483.67,144.79,228.7,204.04,51.56,80.21,90.4,141.48,62.65,311.55,150.11,124.12,196.94,2245.23,214.47,32.735,134.6,65.41,415.99,145.09,345.04,650.27,379.65,158.84,49.66,255.92,187.83,95.59,552.78,537.23,608.29,207.94,76.13,355.36,95.83,269.03,137.47,1201.82,62.46,233.39,257.97,265.2,131.87,371.05,192.43,221.55,259.75,124.23,321.51
2021-04-13 00:00:00-04:00,134.41,285.22,514.85,159.16,191.85,295.36,135.1,80.18,3400.0,67.81,97.54,485.25,146.15,232.0,216.34,51.67,80.45,94.21,142.1,63.83,309.74,150.13,124.49,200.04,2253.21,213.65,33.04,131.19,65.23,418.95,143.36,344.23,645.0,378.15,157.36,48.75,258.49,188.34,92.15,553.73,548.94,627.27,202.0,76.67,359.89,96.26,275.44,137.3,1241.54,62.44,238.0,261.93,273.1182,131.35,386.4,191.24,220.96,265.89,126.19,343.01
2021-04-14 00:00:00-04:00,132.14,284.44,510.95,158.5,191.28,294.37,134.19,78.5601,3334.89,67.75,96.71,477.48,144.68,228.1,208.06,51.38,79.48,93.25,141.66,62.79,302.98,150.07,123.91,199.41,2244.3,213.33,33.2,132.68,64.22,411.28,143.42,336.48,641.08,378.37,156.46,48.08,255.81,187.33,90.67,540.3,545.06,611.07,200.04,76.82,360.61,96.78,267.33,134.75,1179.0,62.0,229.26,258.45,258.34,130.97,371.7,190.42,222.14,259.84,123.68,328.92
2021-04-15 00:00:00-04:00,134.49,285.18,523.25,160.81,191.81,298.85,134.41,83.03,3378.89,68.54,97.8,480.0,147.57,233.08,213.02,51.64,79.78,95.34,142.72,64.37,307.83,152.81,125.53,205.54,2285.24,217.74,33.62,132.61,65.04,417.43,145.31,338.54,649.5,386.51,160.42,48.77,259.53,188.13,90.27,549.13,559.57,645.49,201.77,78.29,370.38,96.26,274.01,137.835,1208.0,63.92,236.49,262.13,263.145,132.67,389.25,193.17,226.36,260.31,130.04,332.39
2021-04-16 00:00:00-04:00,134.15,287.24,525.08,159.47,192.94,300.16,133.73,82.17,3399.21,68.49,96.47,478.79,147.27,231.91,215.21,52.81,80.59,90.24,141.09,64.93,306.18,152.69,125.1,206.0,2282.44,217.8,33.98,133.62,64.75,415.82,145.4,332.99,644.16,386.09,158.27,47.89,260.74,188.52,90.65,546.68,557.09,636.5,199.54,78.97,366.34,97.48,269.85,138.21,1208.14,61.252,232.97,260.84,256.11,133.41,385.84,191.79,226.49,256.35,128.56,330.1
2021-04-19 00:00:00-04:00,134.921,286.67,516.27,156.96,192.71,290.36,130.87,81.12,3373.94,67.55,95.98,462.0,141.83,230.59,213.37,52.89,80.4,87.8,139.56,63.79,302.24,152.25,125.12,206.04,2289.74,215.94,33.7,133.19,63.64,402.28,143.56,324.55,622.07,382.37,154.02,46.63,258.96,187.75,88.45,554.35,549.58,614.342,194.93,78.78,367.09,96.4,268.05,135.27,1145.0,60.45,229.23,250.82,245.14,130.44,367.41,186.99,225.95,254.58,126.96,324.57
2021-04-20 00:00:00-04:00,133.12,288.6,514.31,154.46,192.81,286.35,128.65,79.265,3334.68,66.82,94.48,457.26,140.985,227.96,206.65,51.79,79.6,83.83,140.92,61.8,302.64,151.79,124.55,202.8,2279.01,213.05,33.375,138.2,62.71,405.37,143.05,318.69,612.88,376.66,149.61,45.81,258.28,185.31,87.47,549.44,540.78,606.84,193.97,79.24,359.73,97.52,264.43,133.39,1123.0,58.49,225.03,250.17,245.575,128.64,367.68,185.27,223.36,249.83,123.6,321.8128
2021-04-21 00:00:00-04:00,133.49,290.66,512.31,158.29,194.31,288.76,135.06,81.6,3361.52,67.76,93.18,460.05,141.42,230.54,210.22,51.93,79.24,84.8,140.98,61.78,301.4,152.48,124.8,201.89,2277.79,215.17,33.9,143.64,63.66,408.93,144.69,332.01,640.97,383.15,154.66,47.51,260.61,186.5,89.49,508.9,546.47,614.42,201.14,76.68,356.31,98.22,264.86,136.19,1141.45,58.3,231.41,252.6,245.43,133.51,370.21,188.89,227.35,251.46,126.99,322.64
2021-04-22 00:00:00-04:00,131.94,289.98,507.29,155.38,194.92,288.0,131.75,79.07,3308.0676,67.61,93.71,455.18,140.06,231.45,216.93,51.49,79.05,84.8,141.26,60.73,296.51,152.57,124.63,201.16,2252.86,216.23,33.77,141.28,62.57,406.86,145.62,325.1,614.72,383.32,151.36,45.17,257.2,187.43,84.71,509.41,548.49,594.01,196.26,74.88,352.7,98.31,262.27,132.98,1092.98,57.09,231.44,248.23,245.2,131.98,374.24,185.81,227.58,253.03,123.11,328.32
2021-04-23 00:00:00-04:00,134.31,291.76,516.13,159.04,195.86,295.22,134.86,82.75,3340.52,68.79,93.02,466.15,142.13,233.473,219.17,51.93,78.67,89.57,143.14,60.92,301.1,153.01,126.0,201.72,2299.94,216.82,34.42,142.43,59.25,414.89,147.82,332.08,627.49,387.01,156.37,46.09,261.13,189.92,86.02,505.52,552.68,610.62,201.56,74.97,358.34,99.21,266.03,135.4,1098.5901,61.32,235.62,251.35,246.38,134.72,384.65,188.82,230.0,254.8,129.69,336.61
2021-04-26 00:00:00-04:00,134.73,289.54,515.7,160.64,195.16,299.22,137.28,85.46,3408.96,68.98,94.23,472.13,144.24,235.52,224.46,51.65,79.56,93.03,143.76,61.58,303.19,153.88,126.56,203.9,2311.53,218.32,34.33,141.63,58.74,418.43,148.78,335.95,643.17,387.37,159.1,47.32,261.55,190.19,87.85,510.37,559.03,619.16,205.08,74.52,361.5,98.85,271.72,138.99,1163.59,60.0199,237.68,256.835,255.71,135.17,400.7,191.41,230.43,259.24,133.96,336.41
2021-04-27 00:00:00-04:00,134.39,290.23,517.34,159.47,195.89,298.02,136.79,85.28,3417.43,68.21,91.6,466.35,132.75,234.1,221.22,51.37,79.94,93.83,143.47,61.72,303.49,152.8,121.56,201.26,2290.18,216.42,34.42,142.01,57.97,415.92,148.44,330.33,644.88,388.79,157.41,45.93,262.18,189.74,89.46,505.55,562.87,615.27,203.4,75.22,358.59,99.13,268.81,138.07,1155.55,60.52,238.17,251.71,253.91,135.16,395.91,190.17,229.55,261.33,133.5,333.37
2021-04-28 00:00:00-04:00,133.7801,290.53,515.8,156.12,186.54,299.28,135.73,84.02,3461.12,67.52,91.21,459.2,133.34,236.97,220.06,51.11,80.19,91.48,144.04,62.38,307.11,154.43,123.42,198.05,2359.04,217.98,34.33,143.04,57.61,416.0,146.57,324.55,638.57,395.66,154.61,46.8,254.71,188.7,86.05,506.58,557.85,611.32,198.38,74.77,360.15,97.84,271.25,136.63,1290.52,62.0703,236.5,251.51,254.22,135.92,393.62,181.83,233.52,261.06,131.53,331.19
2021-04-29 00:00:00-04:00,133.48,292.55,516.09,158.04,188.41,296.29,135.39,83.93,3471.31,68.66,92.09,466.29,133.46,234.36,211.495,51.45,81.36,88.88,146.34,56.06,329.51,155.64,122.26,195.5043,2392.51,219.25,34.7,144.25,58.29,416.15,148.35,326.62,641.21,388.58,156.01,47.28,252.46,189.23,88.06,509.06,505.0,613.06,200.75,75.86,355.3,99.37,267.85,142.68,1232.75,62.28,229.52,252.58,247.76,138.19,375.52,185.83,236.86,254.63,132.49,321.11
2021-04-30 00:00:00-04:00,131.53,290.1,508.56,153.13,186.98,292.07,132.72,81.62,3470.02,67.35,91.2,456.32,131.86,230.31,208.38,50.94,80.43,85.83,142.01,55.8,325.25,152.89,120.18,204.355,2353.74,214.64,34.1199,141.91,57.55,412.43,144.35,315.33,620.44,382.15,150.25,45.205,252.27,188.3,86.08,513.8,505.69,600.29,192.61,75.81,353.51,97.51,262.42,138.82,1183.89,61.82,231.33,247.02,245.0,134.43,367.81,180.58,233.81,247.01,127.95,319.83
2021-05-03 00:00:00-04:00,132.5563,292.08,503.47,151.28,191.47,287.51,132.85,78.55,3386.49,66.24,91.16,449.96,129.57,223.74,205.12,51.18,82.19,80.1,141.17,58.155,322.6,151.9,120.07,203.18,2343.11,212.42,34.48,144.75,57.26,411.3,140.31,311.09,617.3511,379.39,148.07,44.3,251.8801,188.76,85.02,509.13,490.56,593.38,191.71,77.34,349.32,99.05,259.09,137.42,1120.03,59.2,223.69,244.96,243.52,133.27,359.98,178.8,232.72,243.74,123.51,314.08
2021-05-04 00:00:00-04:00,127.96,291.79,490.97,151.96,193.89,279.39,128.69,78.66,3315.0,66.07,88.73,444.85,126.34,217.33,197.795,50.72,81.34,77.86,137.07,57.7,318.47,150.47,118.07,206.95,2310.46,205.71,33.96,145.77,56.95,397.53,140.39,307.95,606.51,376.15,144.85,44.495,247.89,186.57,84.44,503.56,483.3,574.35,191.28,78.54,345.76,100.8,250.29,134.25,1143.66,55.79,218.505,237.18,231.18,133.36,342.04,179.02,232.22,237.16,123.22,304.76
2021-05-05 00:00:00-04:00,128.16,289.51,486.69,153.87,193.66,281.31,130.28,77.84,3271.17,66.89,90.05,443.82,126.88,215.47,193.13,51.13,81.4,76.76,137.85,58.245,315.02,148.3,116.59,209.37,2315.68,200.17,34.46,145.24,56.84,391.95,140.74,312.0,610.43,369.35,145.6,44.77,246.51,185.78,85.16,496.21,480.17,578.41,190.4,79.2,341.42,100.38,247.54,134.74,1120.64,54.05,213.77,237.52,231.76,134.69,335.7,181.65,229.3,235.85,122.04,297.55
2021-05-06 00:00:00-04:00,129.73,291.17,483.61,155.41,195.33,284.21,131.74,77.89,3306.37,66.94,93.03,448.7,126.93,218.03,186.91,52.44,75.11,71.32,141.3,58.83,320.02,151.71,118.14,206.48,2337.22,200.94,34.99,148.42,57.1917,394.13,142.81,315.89,617.56,375.48,146.25,45.54,249.71,188.31,84.8,499.48,485.84,580.94,192.38,79.73,337.11,101.58,252.05,136.0,1089.98,52.59,199.69,237.46,224.03,135.73,303.85,184.28,231.25,234.94,122.14,293.0
2021-05-07 00:00:00-04:00,130.2,291.41,488.74,157.15,194.86,285.57,132.89,78.8,3290.69,68.13,94.8,452.58,129.14,216.46,189.14,53.43,74.82,77.31,142.42,59.78,318.96,151.57,117.56,211.77,2351.58,201.36,35.56,145.38,57.67,400.85,143.41,319.71,630.64,375.4,149.65,45.96,252.46,199.11,85.97,503.78,483.6,592.5,197.94,80.39,342.28,101.02,253.36,137.85,1108.44,54.7,205.75,241.72,233.05,137.99,306.48,187.83,232.16,236.78,124.43,295.42
2021-05-10 00:00:00-04:00,126.86,290.66,479.37,150.78,194.39,276.17,124.72,75.98,3190.49,67.06,93.17,436.06,124.14,213.89,187.59,53.17,74.01,76.86,140.65,61.43,306.04,149.51,116.15,204.24,2291.63,195.26,35.25,146.2,55.99,392.54,139.87,299.96,586.41,366.42,143.3,44.3,247.18,200.36,80.85,486.62,466.56,570.5,189.02,80.15,341.34,100.44,243.64,128.94,1080.56,52.1201,194.0,232.47,216.43,136.48,294.76,182.05,225.97,232.28,119.56,288.49
2021-05-11 00:00:00-04:00,125.85,287.94,485.39,150.84,194.48,277.41,123.55,76.84,3223.11,66.32,95.33,440.18,125.83,215.63,195.26,52.83,72.64,78.62,141.303,60.43,306.48,148.02,114.82,206.42,2268.76,195.11,33.59,144.22,55.04,394.7,138.97,300.29,592.08,367.97,145.51,44.23,246.24,201.7,80.68,495.08,481.38,572.25,192.44,77.67,343.6,99.03,248.59,128.37,1110.27,53.3,201.47,234.93,220.66,133.74,306.19,183.23,225.49,236.91,121.23,300.24
2021-05-12 00:00:00-04:00,122.82,279.39,472.11,146.11,189.36,269.68,114.92,74.6424,3154.73,64.17,92.68,422.35,121.79,210.56,189.19,51.6,70.74,76.84,139.72,58.28,302.55,144.79,113.05,197.03,2199.07,194.86,31.95,141.3,53.62,399.88,135.42,286.94,557.68,356.33,139.13,41.53,239.04,194.35,76.79,484.98,464.61,550.425,182.81,76.74,335.07,96.36,240.0,124.64,1084.015,51.56,191.385,228.42,206.55,129.14,296.15,176.62,220.59,224.38,116.88,289.81
2021-05-13 00:00:00-04:00,124.9401,285.28,474.14,146.575,192.47,269.63,119.92,73.09,3162.61,65.33,93.44,430.67,122.06,211.79,183.76,52.48,71.29,77.39,139.13,58.74,305.2,148.59,113.5,198.25,2229.05,196.68,32.38,144.18,54.02,403.52,138.03,296.81,584.73,360.0,142.12,41.59,242.98,197.53,77.18,486.83,454.98,546.61,186.45,78.13,323.87,98.52,240.78,127.12,1048.0,50.937,188.4,230.81,197.185,131.53,281.18,179.07,223.67,222.5,114.61,290.13
2021-05-14 00:00:00-04:00,127.39,288.29,486.36,149.61,194.63,277.5,124.8,74.55,3221.31,66.35,93.33,441.4,124.28,217.6,190.64,52.89,70.99,82.45,138.61,60.855,315.895,149.98,114.41,205.73,2277.91,198.92,32.915,144.66,55.33,416.98,139.86,305.45,602.99,363.84,145.48,43.34,248.15,201.73,79.68,493.14,460.29,569.66,192.25,78.9,337.04,100.11,246.2,130.15,1085.4951,52.95,210.01,239.73,207.85,134.2,299.24,183.27,226.95,228.73,117.99,307.88
2021-05-17 00:00:00-04:00,126.26,287.01,482.77,148.09,194.57,274.77,123.56,74.65,3271.79,66.54,92.3,439.95,121.84,215.07,188.54,52.96,70.64,81.03,137.54,61.695,315.47,148.94,112.83,204.33,2288.98,196.81,33.04,145.09,55.34,419.48,139.54,297.82,592.4,363.3,143.53,42.82,245.18,200.74,80.42,489.09,454.4,566.77,191.19,79.07,335.73,99.84,244.36,129.81,1096.71,53.89,212.62,236.06,202.91,134.15,297.18,180.83,226.45,229.48,118.17,309.1
2021-05-18 00:00:00-04:00,124.85,283.01,480.82,145.89,192.54,272.75,121.81,74.45,3232.73,65.69,93.66,433.86,121.19,214.37,196.83,52.94,70.98,83.16,138.04,61.31,310.01,148.22,113.7,204.25,2262.19,195.48,32.34,143.91,54.84,417.38,138.4,293.64,585.36,363.28,142.39,42.47,243.02,199.19,78.88,486.28,457.23,560.5725,191.36,78.69,340.21,99.09,243.21,128.91,1133.4,53.369,223.46,234.99,203.15,131.28,299.68,178.87,225.6,225.32,117.81,312.89
2021-05-19 00:00:00-04:00,124.69,280.98,480.28,153.2,190.8,273.98,124.88,76.26,3232.55,65.95,94.27,441.71,122.35,221.34,198.7,52.46,70.74,83.67,138.93,59.79,313.71,147.56,113.07,207.77,2272.2,194.8,31.83,143.19,55.37,421.33,138.23,304.17,602.19,361.11,146.99,44.5,243.14,198.74,79.93,487.42,459.79,562.97,195.18,78.77,335.7,98.89,244.63,130.72,1171.0,53.91,228.81,237.25,200.15,132.78,298.05,181.75,224.59,226.11,120.77,310.46
2021-05-20 00:00:00-04:00,127.31,284.03,491.79,159.47,194.135,281.16,130.27,78.1,3248.54,66.61,96.57,455.09,125.31,223.86,204.03,52.87,71.31,88.22,141.79,59.46,318.61,149.82,114.66,212.14,2306.97,195.46,32.04,143.87,55.95,435.27,141.13,313.37,626.74,367.83,151.17,46.31,246.48,203.04,81.13,501.74,470.81,584.5,199.67,78.73,342.6,100.64,251.53,132.63,1215.37,57.1,230.64,244.71,204.9,133.55,316.29,185.28,226.52,233.54,123.99,324.71
2021-05-21 00:00:00-04:00,125.43,283.54,488.17,159.38,195.33,281.71,128.65,77.18,3202.0,66.36,95.38,451.24,123.47,222.58,210.6,52.43,71.25,89.0,140.18,61.025,316.23,150.36,114.23,210.83,2294.87,193.57,31.685,144.77,56.09,433.64,139.55,310.14,614.1,367.85,149.81,46.24,245.19,202.12,80.72,497.89,469.28,599.69,199.95,79.03,362.46,100.78,250.74,131.46,1224.95,56.63,233.26,242.09,200.025,132.92,314.46,185.05,226.96,231.42,122.87,316.4
2021-05-24 00:00:00-04:00,127.1,284.86,497.83,162.5,196.92,287.48,134.58,77.44,3244.68,67.1,96.52,459.19,126.35,227.0,214.49,53.39,71.09,89.75,142.08,60.97,324.8,150.99,115.86,212.97,2361.04,195.24,32.32,144.72,56.96,440.43,140.79,317.55,634.65,372.49,154.1,47.62,250.85,202.84,82.91,502.88,476.27,624.48,204.48,79.39,364.53,101.9,257.17,132.91,1261.9,60.1434,233.9,248.58,210.87,134.48,324.25,188.69,229.31,234.12,123.8,321.57
