,SPY
,close
time,
2018-09-14 00:00:00-04:00,290.9
2018-09-17 00:00:00-04:00,289.34
2018-09-18 00:00:00-04:00,290.9
2018-09-19 00:00:00-04:00,291.25
2018-09-20 00:00:00-04:00,293.55
2018-09-21 00:00:00-04:00,292.01
2018-09-24 00:00:00-04:00,291.07
2018-09-25 00:00:00-04:00,290.7
2018-09-26 00:00:00-04:00,289.84
2018-09-27 00:00:00-04:00,290.65
2018-09-28 00:00:00-04:00,290.61
2018-10-01 00:00:00-04:00,291.67
2018-10-02 00:00:00-04:00,291.57
2018-10-03 00:00:00-04:00,291.78
2018-10-04 00:00:00-04:00,289.47
2018-10-05 00:00:00-04:00,287.89
2018-10-08 00:00:00-04:00,287.8
2018-10-09 00:00:00-04:00,287.43
2018-10-10 00:00:00-04:00,278.17
2018-10-11 00:00:00-04:00,272.25
2018-10-12 00:00:00-04:00,276.01
2018-10-15 00:00:00-04:00,274.48
2018-10-16 00:00:00-04:00,280.3
2018-10-17 00:00:00-04:00,280.4
2018-10-18 00:00:00-04:00,276.47
2018-10-19 00:00:00-04:00,276.19
2018-10-22 00:00:00-04:00,275.06
2018-10-23 00:00:00-04:00,273.54
2018-10-24 00:00:00-04:00,265.22
2018-10-25 00:00:00-04:00,270.14
2018-10-26 00:00:00-04:00,265.29
2018-10-29 00:00:00-04:00,263.8
2018-10-30 00:00:00-04:00,267.81
2018-10-31 00:00:00-04:00,270.69
2018-11-01 00:00:00-04:00,273.51
2018-11-02 00:00:00-04:00,271.8
2018-11-05 00:00:00-05:00,273.38
2018-11-06 00:00:00-05:00,275.12
2018-11-07 00:00:00-05:00,280.91
2018-11-08 00:00:00-05:00,280.44
2018-11-09 00:00:00-05:00,277.83
2018-11-12 00:00:00-05:00,272.49
2018-11-13 00:00:00-05:00,272.06
2018-11-14 00:00:00-05:00,270.13
2018-11-15 00:00:00-05:00,273.07
2018-11-16 00:00:00-05:00,273.68
2018-11-19 00:00:00-05:00,269.08
2018-11-20 00:00:00-05:00,264.18
2018-11-21 00:00:00-05:00,265.08
2018-11-23 00:00:00-05:00,263.34
2018-11-26 00:00:00-05:00,267.46
2018-11-27 00:00:00-05:00,268.34
2018-11-28 00:00:00-05:00,274.5
2018-11-29 00:00:00-05:00,273.93
2018-11-30 00:00:00-05:00,275.78
2018-12-03 00:00:00-05:00,279.25
2018-12-04 00:00:00-05:00,270.3
